Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Num_Ind,Ratio_Ind_Avail,Prop_Ind_Avail,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Scat_n_Tot,Scat_n_Prey,Abs_FO,Rel_FO,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,BM_Equiv,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,Timepoint,Period,Cons_Season,A_C_Code,A_Code,Avail_Season,n_Avail_Season_Points,C_Code,n_C_Points,Study_Code,Area_Code,n_Prey_Species,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n,Pop_Scale
,Ansorge 2006,Lusatian heath - Muskau heath,400,Red deer,Cervus elaphus,Cervus elaphus,1000,,,2.5,"adult= 65, calve=25","estimates based on hunter kills in area, adult= 65, calve=25",240,,,192,61,31.8,,,,0.369,,Wild,,,"High density, especieally in the restricted military areas",,1,2001-2003,MYR,P-3-3,HH,SP,3,U,3,ANE06LUH-M,LUH-M,4,UK,UK,UK,PACK
,Ansorge 2006,Lusatian heath - Muskau heath,400,Roe deer,Capreolus capreolus,Capreolus capreolus,2080,,,5.2,"adult= 15, fawn=4",estimates based on hunter kills in area,22.4,,,192,95,49.5,,,,0.374,,Wild,,,"High density, especieally in the restricted military areas",,1,2001-2003,MYR,P-3-3,HH,SP,3,U,3,ANE06LUH-M,LUH-M,4,UK,UK,UK,PACK
,Ansorge 2006,Lusatian heath - Muskau heath,400,Wild boar,Sus scrofa,Sus scrofa,1160,,,2.9,"adult= 45, piglet=10",estimates based on hunter kills in area,84.5,,,192,48,25,,,,0.182,,Wild,,,"High density, especieally in the restricted military areas",,1,2001-2003,MYR,P-3-3,HH,SP,3,U,3,ANE06LUH-M,LUH-M,4,UK,UK,UK,PACK
"Sheep numbers were only mentioned in the discussion, maybe remove? ",Ansorge 2006,Lusatian heath - Muskau heath,400,Sheep,Ovis aries,Ovis aries,6500,,,16.25,,,34.2,,,192,0,0,,,,0,,Livestock,,,Grazed regularly but guarded by two layers of electric fence 24h a day in the summer,,1,2001-2003,MYR,P-3-3,U,U,U,U,U,ANE06LUH-M,LUH-M,4,UK,UK,UK,PACK
relative availability was only calculated considering wild ungulates. also unclear if their occurence measure was Abs or Rel FO,Barja 2009,Macizo Central Ourensano,120,Roe deer,Capreolus capreolus,Capreolus capreolus,,,0.596,,11.5,"Mean mass of adults (24.5 kg) and juvenile (7kg) based on relative consumption of the two classes. Numbers from Urios 1995, Llaneza et al. 1996, Blanco 1998 and Mateos-Quesada 2002",22.4,,,508,319,62.8,,,38.2,0.429,,Wild,,,"""greater vulnerability in comparison to with other wild ungulates"". Consumption increased in summer aka fawning season when juveniles are especially vulnerable. Roe deer fawns left along by mothers for extended periods, making them more vulnerable to wolves.",,1,May 1998-Oct 2002,MYR,P-1-5,CNT,YR,1,T,5,BAA09MCO,MCO,7,UK,UK,UK,POP
,Barja 2009,Macizo Central Ourensano,120,Red deer,Cervus elaphus,Cervus elaphus,,,0.302,,90,"Mean mass of adults (90kg) and juvenile (25kg) based on relative consumption of the two classes. Numbers from Urios 1995, Llaneza et al. 1996, Blanco 1998 and Mateos-Quesada 2002",240,,,508,64,12.6,,,28.1,0.316,,Wild,,,"larger, less vulnerable than roe deer. there is a reproduction fence for red deer in the study area.",,1,May 1998-Oct 2002,MYR,P-1-5,CNT,YR,1,T,5,BAA09MCO,MCO,7,UK,UK,UK,POP
PanTheria has no distiction between wild or domestic pigs.,Barja 2009,Macizo Central Ourensano,120,Wild boar,Sus scrofa,Sus scrofa,,,0.102,,31.2,"Mean mass of adults (75kg) and juvenile (22kg) based on relative consumption of the two classes. Numbers from Urios 1995, Llaneza et al. 1996, Blanco 1998 and Mateos-Quesada 2002",84.5,,,508,51,10,,,10.2,0.115,,Wild,,,"larger and less vulnerable than roe deer. Birthing seasons in autumn and spring (autumn if favourable conditions, march is main season) (wolf consumption of wild boar increases during these times",,1,May 1998-Oct 2002,MYR,P-1-5,CNT,YR,1,T,5,BAA09MCO,MCO,7,UK,UK,UK,POP
Unweighted average of goat and sheep weight,Barja 2009,Macizo Central Ourensano,120,Goats and sheep,Capra aegagrus and Ovis aries,Capra hircus and Ovis aries,700,,,5.833333333,"Goat 26.3, Sheep 28.5","Mean mass of adults (Goat: 26.3kg, sheep: 28.5kg) and juvenile (Goat: 5kg, sheep: 5kg) based on relative consumption of the two classes. Numbers from Urios 1995, Llaneza et al. 1996, Blanco 1998 and Mateos-Quesada 2002",40.55,,,508,54,10.6,,,10.1,0.113,,Livestock,,,"available year round. ""maintained in an intensive system""",,1,May 1998-Oct 2002,MYR,P-5-5,U,U,1,T,5,BAA09MCO,MCO,7,UK,UK,UK,POP
Unweighted average of cow and horse weight,Barja 2009,Macizo Central Ourensano,120,Cattle and horses,Bos taurus and Equus caballus,Bos taurus and Equus caballus,86,,,0.7166666667,,,506.5,,,508,0,0,,,0,0,,Livestock,,,"""in a zone of the study area (Montes do Invernadeiro Natural Park), horses and cows were kept in an extensive system"". Available year round",,1,May 1998-Oct 2002,MYR,P-5-5,U,U,1,T,5,BAA09MCO,MCO,7,UK,UK,UK,POP
,Bocci 2017,Hushey valley,4000,Sheep,,Ovis aries,700,,0.3889,0.175,,,34.2,,,57,32,56.9,32.7,38.2,,,,Livestock,,,"stay close to village. ""If herders start guarding livestock in a better way"" suggests little and/or ineffective livestock guarding.",,1,2011-2012 Year-round,SWS,P-1-1,U,U,1,T,1,BOI17HSV,HSV,5,3,1,2,POP
