Notes,Paper_ID,Study_Area,Area_Code,Study_Code,Center_Long,Center_Lat,Coor_Given,Study_Start,Study_End,Study_Region,Study Country,Eco_Code_Olson,Realm_Olson,Biome_Olson,Bioregion_Olson,Suprarealm_OneEarth,Realm_OneEarth,Subrealm_OneEarth,Bioregion_OneEarth,Ecoregion_OneEarth,Protected_Area,Avg_Temp_Ann,Avg_Temp_Min,Avg_Temp_Max,Avg_Precipitation,Avg_Rainfall,Avg_Snow,Snow_Period,Elev_Min,Elev_Max,Elev_Range,Area ,Range_Wolf_Dens,Avg_Wolf_Dens,n_Wolves,n_Packs,Range_Pack_Size,Avg_Pack_Size,Wolf_Notes,Livestock_Notes,Wild_Ung_Avail_n,Wild_Ung_Avail_Name,Beaver_Avail,Paper_Pred_Tot_n,Bio_Pred_Tot_n,Pred_Larger_n,Pred_Larger_Name,Pred_Smaller_n,Pred_Smaller_Name,HFI,Productivity
"""The main part of the study area is a military training area of about 145 km2, including 100 km2 of forest."" ""former opencast coal mines of large dimensions belong to the wolves´ present home range.""  possible SP and SA overlap with Wagner 2012. WIld game abundant in area. High number of wild ungulates.",Ansorge 2006,Lusatian heath - Muskau heath,LUH-M,ANE06LUH-M,14.7416,51.44736,None given ,2001,2003,Northeastern Saxony,Germany,PA0412,PA,4,PA04,PA,WEE,GEM,PA12,654,"""Here, the wolves are safe from permanent human disturbance""",,,,,,,,,,,400,0.01-0.0275,,4-11,1 (studied),4-11,,"Rare but regular immigration of wolves from Poland into Germany after WW2. Wolves legally protected in 1990. Occasional occurrence for a few years, then first pair formed in 1998, with successful breeding by 2000. Areas adjacent to Muskau heath only occasionally visited by wolves. ""The Muskau Heath is exactly the area where, in ca. 1800, the wolves still lived while extirpated from the rest of Saxony (Winkelmann 1996)."" Prefer open landscape for hunting. Raised between 2-5 pups each year during the study.  The 2000 pups left natal territory in 2002,mand settled in the western portion of study area, then later split up with only 1-2 wolves remaining in that area. Pups from 2001 left but don't know where to (or when). If 2000's pups left in 2002, then in 2001 there wouldve been either 8-11 wolves total? Min 2 pups therefore min # of wolves would be 4.",6500 sheep in study area that graze in the summer months. almost all are grazed within twoo layers of electric fences 24 hours a day. A few livestock attacks have been reported. Cattle also present.,4,"Red deer (Cervus elaphus), roe deer (Capreolus capreolus), wild boar (Sus scrofa), mouflon (Ovis ammon musimon)",,,,,,,Fox (Vulpes vulpes),,
elk were primary prey for wolves and mule deer were primary prey for cougars,Atwood 2007,Northern Madison Study Area (NMSA),NMS,ATD07NMS,-111.42069,45.51488,,2003,2005,Montana,USA,NA0528,NA,5,NA05,NA,NOA,AMW,NA13,367,Privately owned,,-34,32,,,,,1300,2500,1300-2500,680,0.0029-0.0118,0.007352941176,2-8,1,2-8,5,Recolonized study area in winter 2002. Bear trap pack averaged 5 wolves (range: 2-8),Not mentioned so presumably none,4,"elk (Cervus elaphus), mule deer (Odocoileus hemionus), white-tailed deer (Odocoileus virginianus), and moose (Alces alces)",,4,,3,"grizzly bears (Ursus arctos horribilis), black bears (Ursus americanus), cougars",1,"coyotes (Canis latrans),",,
Snow ranges from almost zero to several meters deep. Western Arctic Caribous Herd (WACH) is mostly migratory. Spring migration though study area to calving grounds and autumn migration out of area to the south.,Ballard 1997,Northwest Alaska,NWA,BAD97NWA,-157.77654,66.76391,,1987,1992,Alaska,USA,NA0607,NA,6,NA06,NA,SUA,ALA,NA4,416,Game management unit 23,,-51 (-34 for non extreme),32 (summer avg was 16),"60-80 in lowlands, <or= 120 in uplands",,~0-400,,,1231,near sea level - 1231,12280,0.0015-0.0044,,,19,,9.7,"Estimated wolf density was 12.9/1000km^2 in 1977. ""Spring wolf densities increased from 2.7 to 4.4 wolves/1,000 km2 during 1987 through 1990, and then declined to 1.5 wolves/1000km2 following a rabies epizootic"". Harvested yearly by hunters and game officials. Radio collared 86 wolves in 19 packs and relocated them on 1,830 occasions. Usually resident packs. Average winter territory size was 1372  +/- 175 km^2. Some packs followed caribou herds when moose densities were low. Average spring wolf weights in kg: Adult M=47.3, Adult F= 42.2, Yearling M= 46.2, Yearling F= 41.9, Pup M= 44.6, Pup F= 37.5 (for standard errors see table 1)",,4,"Caribou, moose (Alces alces), Dall sheep (Ovis dalli), muskox (Ovibos moschatus)",Yes,5,,2,"Brown bear (Ursus arctos), black bear (U. americanus)",3,"Red fox (Vulpes vulpes), wolverine (Gulo gulo), lynx (Felis lynx)",,
has habitaat type descriptions but not quantitative,Barja 2009,Macizo Central Ourensano,MCO,BAA09MCO,-7.32698,42.14514,,1998,2002,Iberian Peninsula,Spain ,PA0406,PA,4,PA04,PA,WEE,GEM,PA10,648,Includes a natural park,,2.6,21,,1185,,frequent between Nov-April,850,1707,850-1707,120,,,,,,,"have pups (and thus high energy needs) in spring and summer. ""The trophic position of the wolf in the study area is closer to a facultative specialist than to an opportunist species, because a facultative specialist may change from a key food item when other profitable prey is available (Glasser 1982).""","Present. Horses, cattle, goat, sheep",5,"Roe deer, red deer, wild boar, fallow deer, mouflon",,,,,,,,,
,Becker 2008,Yellowstone National Park Madison Headwaters area,YNP-M,BER08YNP-M,-110.85758,44.70225,,1996,2007,YNP,USA,NA0528,NA,5,NA05,NA,NOA,AMW,NA13,367,,,,,,,,,,,,310,,,37 (or more),4,,,37 wolves from 4 packs radiocollared over study period,,,,,,,,,,,,
"Albertan wolves reported to be ""somewhat larger than those in southern Ontario and Minenesota"". 1500-2300 cattle graze within the study area between May-October",Bjorge 1989,Simonette River,SNR,BJE89SNR,-117.82636,54.83433,roughly' 54°50'N 117°30'W,1976,1981,Alberta,Canada,NA0802,NA,8,NA08,NA,SUA,CBF,NA8,376,,,-13.5 (mean december),16 (mean july),,,98,"""60-85 frost free days""",670,760,670-760,2000,see note,see note,"14-15 in 1975, 40 in 1979, 13 in 1980/81","3 (winter 1975/76), 6 (winter 1978/79)",2-12,6,"There is significantly more wolf data than what is noted here, check paper for more. wolf density was 1 wolf per 92km^2 (14-15 wolves) in winter 1975 and one wolf per 42 km^2 (40 wolves) in 1979 (the population high), then goverment decided to control wolves and population droped to 13 wolves in 1980/81. 12% of wolves were lone wolves. mean summer territory size was 233km2 (range: 100-276) and mean winter was 424km2 (range: 198-572). Mean wolf pop increase between late winter-summer was 60%, mean winter pop loss was 30%. Min consumption rate for one pack over 51 days in winter was 0.12kg/kg wolf/day. # wolf packs with more than two wolves increased from 3 in winter 1975/76 to 6 in  winter 1978-1979. Mean midwinter pack size was 6, range 2-12. Mean 12% of wolf pop were lone wolves. Government wolf control conducted during late winter 1979-80. 6 is mean pack size. number of packs was 3-6, total number of wolves ranged from 13-40. ",,4,"Moose, Elk, Mule deer, white-tailed deer",Yes,2,,1,Black bear (Ursus americanus),1,Coyote (Canis latrans),,
Ibex is the only wild ungulate in the study area. Lack of marmots. Pikas and partridge like birds common,Bocci 2017,Hushey valley,HSV,BOI17HSV,76.38915,35.52601,"76° 20′ E to 35° 27′ N (town of Hushe, not center of study area)",2011,2012,Central Karakoram National Park,Pakistan,PA1006,PA,10,PA10,PA,EAE,TIP,PA41,754,"yes, livestock still graze their and 150 households (1200 humans)",,,,,,,Dec-May,3000,5000,3000-5000,4000,,,,,,,"descend to lower altitudes ((<3000m asl) where the livestock is) from December-May (the study period) . group-living. use less steep and less rugged terrain, not cliffs. listed as ‘endangered’ in the red list of Pakistan Mammals. altitudinal range of at least 1000m asl to over 5000m asl. Greater flexibility whem it comes to habitat use and use of local ressources. 'least concern' species. ecologically flexible",Abundant. See prey notes in sheet 4 for details,1,Ibex (Capra ibex),No,3,,1,Snow leopard (Panthera unica),2,"Red fox (Vulpes vulpes), Corsac fox (Vulpes corsac)",,
"Upper elevation limit may be of adjacent area, not study area. Domestic livestock were rare in area (50 horses present in winter, no sheep or cattle)",Boyd 1994,North Fork Flathead River Glacier National Park,NFF,BOD94NFF,-114.30496,48.85032,None given ,1984,1991,British Columbia and Montana,Canada and USA,NA0518,NA,5,NA05,NA,NOA,AMW,NA13,361,No but adjacent to Glacier National Park,,,,,,"Annual sum of maximum snow depths were ""used to classify winters as shallow-snow or deep-snow, with the distinction point at 300 cm. Winters 1985-86, 1986-87, 1987-88, and 1988-89 were shallow-snow (range =150-277, x = 223.5, SD = 47.3). Winters 1989-90 and 1990-91 were deep-snow (range = 320-325, x = 322.5, SD = 2.5)""",Nov-Apr,1020,2800,1020-2800,None given ,,,"6 (W 1984/5), 12 (W 1985/6), 10(W 19856/7), 10 (W 1987/8), 12 (W 1988/9), 7 (W 1989/90), 18 (Winter 1990/1)","1 (Winters 1984/5-1989/90), 3 (Winter 1990/1)",2-12,"10 (Winters 1984/5-1989/90), 6 (Winter 1990/1)","wolves were reduced in BC and AB and extirpated from the GNP and surrounding areas by late 1930s. Began to recolonize area in 1982 after being listed as an endagered species in 1973 in the US. 31 radiocollared wolves from Aug 1984-July 1991. ""The wolf pack consisted of 6, 12, 10, 10, 12, and 7 wolves in the early winters of 1984-85 to 1989-90, respectively. In summer 1990, the pack split into 3 packs containing 9, 7, and 2 wolves, dividing the former home range into thirds. We followed all 3 packs during winter 1990-91.""",Domestic livestock very rare: only 50 horses and only in winter,4,"White-tailed deer (Odocoileus virginianus), mule deer (Odocoileus hemionus), elk (Cervus elaphus), and moose (Alces alces)",Yes,5,,3,"mountain lions (Felis concolor), black bears (Ursus americanus), and grizzly bears (Ursus arctos)",2,Wolverine (Gulo gulo) and coyotes (Canis latrans),,
Hare and porcupine also present. ,Capitani 2004,Pratomagno,PRA,CAI04PRA,11.61188,43.67635,None given ,1999,2000,Homonym massif of Appenines towars Arezzo plains,Italy,PA1211,PA,12,PA12,PA,WEE,MED,PA19,795,Half is a natural reserve,,,,,,,Winters characterized by snowfall and snow melting (Snow stays less than 50 days per winter),300,1600,300-1600,110,,,,,,5,Early winter pack size was 5 (based on howling surveys and snow tracking),"Cattle and horses free range from June-Sept, sheeps and goats present year-round at low altitudes.",3,"Wild boar (Sus scrofa), Roe deer (Capreolus capreolus), Fallow deer (Dama dama)",No,,,,,,,,
Small mammals common. ,Capitani 2004,Cecina Valley,CCV,CAI04CCV,10.65664,43.238,None given ,2000,2001,Thyrrenian coast,Italy,PA1211,PA,12,PA12,PA,WEE,MED,PA19,795,,,,,,,,Rare,100,600,100-600,25,,,,,4-5,,Early winter pack size was 4-5 (based on howling surveys and snow tracking),Sheep and goats present in open areas throughout the year. A few large herds of horses and cattle present near farms and villages in small numbers. Local climate allows livestock to be grazed on pasture year round.,4,"Wild boar (Sus scrofa), Roe deer (Capreolus capreolus), Fallow deer (Dama dama), Mouflon (Ovis ammmon musimon)",No,,,,,,,,
